title,link,soldprice,bids
Shop on eBay,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,20.0,N/A
Shop on eBay,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,20.0,N/A
New ListingSony Alpha a7 III Mirrorless Digital Camera Body Only - Unused Box Open,https://www.ebay.com/itm/365107514529?_nkw=sony+a7+iii&epid=28026657207&hash=item55021a8ca1:g:wxYAAOSwuH5mgWwa&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmWWqAALvPcn4cr%2FMrm7v%2Bc7r54ZXa3%2BBsKVicqNpvmptAfK1iOLdC8HM37w46YbdDfZqMF0TjCgT%2BGwTHY70kJu7nlMs4nj57kGNgpwty5twrHIrf0p%2BCqfBXNPaU7BYheZ7c0Z6lfRCrT1dqMCv7qECjHqqV2HU%2BVxTJ60hYmQO9qQ5tR%2Bxk1yWqJ0HddfQN%2B6xv%2Bvji09TPvJChr5n32rch9cDubmQ3nlp%2FopnryY1dtOyQw519EFkBlLOOZWQhpcW%2FMZZ3UbaocAcL948uh%7Ctkp%3ABFBMstaXjrlk,52.59,N/A
Sony Alpha A7 III 24.2MP - 4K - Black (Kit w/ FE 3.5-5.6/28-70 mm Lens),https://www.ebay.com/itm/395624666755?_nkw=sony+a7+iii&hash=item5c1d115683:g:ebwAAOSwiL9mz1mB&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlZJS2tW%2BwsxH1MhJd08arm8UP2o567He1Jkaikwzz6iVRVzv19ZKj%2BK0uPs4jqYigtfcJ3KIgna8lLjXd01Kjkhb6L7E01sEJc5HoSlO7yKOF9UJACWVohxelQ1HTVTcxeXdvvOig7XDrfHUQKVZ2EhER205ojuB6xl1eLk20jD7qABiM3ggg%2Bo45EidXBL%2Bi6xzXDsiWNgkkU6WN%2BWBxdZV45zkFnonitY7lU1HCTaU8Gemw6h3Z0Jci3Tv1u9FSTCdlMYuOgDHSfgms5dfTn%7Ctkp%3ABFBMstaXjrlk,930.0,9 bids · 
Sony Alpha A7R III 42.4MP Mirrorless Camera Body (Cracked Screen Still Works),https://www.ebay.com/itm/226324163388?_nkw=sony+a7+iii&epid=11038022810&hash=item34b1f8ab3c:g:jTcAAOSws2Nm0kSE&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlqgg44XkL9UWddzjkOsWg0CiVZNOd8YrA6WNh4%2BQNACON7nTGFBVpwC1hTmjAk%2B7mCTphgRShFnM6zZsZkK%2BYU6KhgxHzzxU8r%2BvNtxKzE%2BDqZFouor8P%2FhKEuaB8TSrAF0TnpxOUDoww%2BexQr1FbCiPxik5T6ciBVrBumFp%2BDTSFtWWK0KNRNqg7rQBI8sei5yVix0MI7ayfb%2Fpe0UECEHODvFF%2FUO43uJ9XdqlmcJCMQA0tCQITqcmM94uhB%2B%2B6POhSEoAfkQV7jCx0Adni3%7Ctkp%3ABFBMstaXjrlk,754.0,25 bids · 
SonyA6400 Black Camera Pack,https://www.ebay.com/itm/356002960034?_nkw=sony+a7+iii&hash=item52e36e12a2:g:PdIAAOSwbKpm1AqT&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKl5QfkFXZYgvQFyI2tMCHWw2GqmxgMkaPul%2Bd%2F8n4mU7VAo21zjwc51t96PJ%2BtJBHCyv0ZNDys7AyAaY5hjgupdJVUW2p12FlPCnjYdkegkID5fvMd3%2FmbyUylx9eFdkT0UaXACCgolbyvVX%2F6V8j16kOWMnWZi5Cfa3T%2FjZ56cZNC7Z14G4xMS9utl%2FSn7rxWSD%2FI7aVOX2L3a2279yxSiKoj%2B2XnP9aU6z8zfGDGGnNGOr4RMg%2BFwBRO5zHKaeF3sK4LKIfFPbfJqJUyqSN7fhwinEDt4pR847WdwiosZMQ%3D%3D%7Ctkp%3ABFBMstaXjrlk,418.11,N/A
Sony A7III - Low Shutter Count,https://www.ebay.com/itm/286037250680?_nkw=sony+a7+iii&hash=item4299261278:g:784AAOSwBNtm0ekA&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKkrTNc8gpSWRSRAfA6mzeTJ64GweVn9JpDncgPL4AqEIZs5hJyYEWZhwuJ8HZlWf9bxXe5JhrFthBvuGFVCsbsMfTFwe3sxZTTXwIt0%2Bbr0TlpH7Xm3NN2f%2F0W%2BjztJgaMgNm11HDJ%2Fu7RlW84Kyb2jw71o057Gmfu5lyZch8LchZTYvsKYyPMwFOasK2pvGFTmfNupOBalAc%2B1UiSa%2B0itMb349LmKVGhCZJZm9nAfcCCsIO0%2BfsQ594txmFqXeJ4%3D%7Ctkp%3ABk9SR7TWl465ZA,900.0,3 bids · 
"Sony Alpha a7R III 42MP Mirrorless Digital Camera LOW SHUTTER COUNT ONLY 5,620!",https://www.ebay.com/itm/166956143969?_nkw=sony+a7+iii&hash=item26df5c9561:g:R-cAAOSwPo5m2dZa&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnYJbVNL59ZIIr7CxVdPH6T06jmNNLpQbJai%2BqNRV862%2Fa0esnmkkJaPK0Lqag%2F1GRuV%2FbbrrcNKVduh8LfJRC6gVR3eYc2WfddpyeBGn8mDugB4x5iS%2BYJ9P2qEx4EEbV5nu2%2FaSyMjKLhpL0a9%2F0bZrol2tp1jnbcbUwBItpwathqDESHqpKQ%2FxpJYJlTRi8HrYemHSRdRZbgNhbxsVxRwCeErSwiEUXmhgNp1QNriRQr88S5E2GZsD60k1PgFMfzmBHpEXEPSoMG4nYOGAko%2B57deAUkqeRFawIfkGIhQA%3D%3D%7Ctkp%3ABk9SR7TWl465ZA,999.0,N/A
"Sony A7 III ILCE-7M3 [sometimes makes buzzing noise, see description]",https://www.ebay.com/itm/405190765412?_nkw=sony+a7+iii&hash=item5e57406b64:g:lVoAAOSwTdFmy5au&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnOm%2FzUMFB2PxnnQbipqoujyB0VWRaN1rvTlii9b8MnDeZJB4RsSBbMbrGDcYou3RDtpjntddaAqTutQj8KawYRHcM%2Bpj1NeLwerV7H07hi1WuxlxTn1w6PkScYPb6mpmDdx%2BaI4kEIKCR2ImV%2BQnPhZD%2BA%2Fwo3IKdaSXBMPB6xN9oDB2sVO%2Bs0okchxOPjrGPlPB4TbptDQcTyylNU9hPYssxR72pqDAq0N0O24CBn94CRNA5O5I3CiBFANKyCT4ieuvR3dYRGiAQjRiHaHidfWRvTte7LmmVAFGt1ic0HCg%3D%3D%7Ctkp%3ABk9SR7TWl465ZA,488.58,36 bids · 
Sony a7 III 24.2 MP Mirrorless Digital Camera - Black (Body Only),https://www.ebay.com/itm/326231215247?_nkw=sony+a7+iii&epid=6030664074&hash=item4bf4e54c8f:g:AzsAAOSwe~Jmumg0&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKkvnvcPs4wClrC2H%2BZTufJiA6%2F3BNoidJ9ZVMKyyEE%2BrrlDBsSW1akvu0wV%2B4l6W93btdycdTU7gkMbwTv%2BWJV5PEICtZheZtvZ6gbcg6tgrAzsbpvRZVA0427NAi0bPJG7WJnNMVMFHMkAYPTHL2Sj9I%2FyzeKWSVeBkHYem6V34j03EKtPzbBB7vBKIXcgoiNnQoTWEfpnElxawwZPdI708RLq5bDtCPCC0M94wtfeQkAsFlpCoraZVhpYmM%2BOOGk%3D%7Ctkp%3ABk9SR7TWl465ZA,978.97,N/A
Sony Alpha A7 III 24.2MP Digital Camera with FE 28-70 mm F/3.5-5.6 Lens,https://www.ebay.com/itm/286043367396?_nkw=sony+a7+iii&epid=21027888058&hash=item42998367e4:g:xKUAAOSwRbpm1wi8&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKmw3CVJJdmGv%2FFTh9ux0Bw344mlTGr8jpBaR72LONWIguxyBRMuIhrnPxt74%2B3UmObsFV3YtnIVY1v6HZJGHWPIWvyeJCnIhdRF3XIFfLb11gljntdpinKhRckzeK8kmz36Nd09%2BsBuQIGPqICdSgGV6ceQFoxlH0nbGbOnz968ALw%2BEnUztmaqdD%2FMSm%2F9Jf6txpfHelbMcVTzULPCaSWd9j%2BvUNiwd%2BlXnJAZ0opRBJW86YxPDUupH%2BgXIQryn2I%3D%7Ctkp%3ABk9SR7TWl465ZA,386.0,22 bids · 
Sony Alpha a7R III 42.4MP Mirrorless Digital Camera - Black (Body Only),https://www.ebay.com/itm/196602762535?_nkw=sony+a7+iii&epid=2327730839&hash=item2dc6701527:g:LAQAAOSwpihmwzfG&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKlsxgS5KMIjCp057NFqAfCDl3qPZo9OpoJtwOTGcpo01ag4lJuCoPesWuXUPzbLH5o1cKboKV0NBrXYjMt9PWmVh4GkedcY3Hpvf3DZRL2InpWbATLvJYw5Mdzt3vFTyf63wE9TlwSweUZD2%2FOIYZSZx5Hw7%2FDYvXQb1s9rC2YBs%2Bq9i7UeQ%2BOLgSIBMa%2BCNi%2Bkhmz7TC6k4Ht%2BrL18SV8%2FDMCC%2FKxSMEZ2%2FnzSRdcT2Zf7sX1%2FPZya0WBMz3vMc1U%3D%7Ctkp%3ABk9SR7TWl465ZA,545.15,19 bids · 
Sony Apha A7RIIIa E Mount Mirrorless Camera Body in Box Low Shutter Count 1627,https://www.ebay.com/itm/356004847381?_nkw=sony+a7+iii&hash=item52e38adf15:g:wgcAAOSwaaRmxqSx&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKnU7Yt5UCGj5i5XwjHnnRAEtt2n2WR1c0nce7EHkoVCc05N5XwfOwbR%2BSoeTYz0odMb9mWRqJQXn1v7%2BxZCMF7FUL%2Bkre7nvCKETmfeTpGugWKrViCSSsB6zbXGmT41IIt5CFHV27yfZm82KMLbCjMcW32yHYmX7F7%2B8S9%2BYQvNwHzkePcqW6Qx%2FYJV02MZ0WFdEacSTSYfHyjIUniN294I94Xy3wgFx%2FJ%2Bfk%2FfCsTQ%2FzzWxuck1bHdDmZgL3eeikA%3D%7Ctkp%3ABk9SR7TWl465ZA,962.0,12 bids · 
